Loading original data: /Users/kyle/BP/solver/DCFR-SOLVER/output/push_fold/4p_8bb_1b.json
Loading existing fixed data: /Users/kyle/BP/solver/DCFR-SOLVER/output/push_fold/4p_8bb_1b_fixed.json

JSON structure (original):
  CO: ['no action']
  BTN: ['no action', 'CO push']
  SB: ['no action', 'CO push', 'BTN push', 'CO+BTN push']
  BB: ['CO push', 'BTN push', 'CO+BTN push', 'SB push', 'CO+SB push', 'BTN+SB push', 'CO+BTN+SB push']

Trials per hand: 50,000
Seed: 42

=== Situation 4: BB vs CO+BTN+SB push (copy from existing fixed file) ===
push_pct: 12.1% -> 9.7% (already fixed, preserving)

=== Fixing: BB vs CO+BTN push (SB folded) ===
Breakeven: 28.571%  (14 / 49)
Trials per hand: 50,000
CO 'no action' combos: 514, mean push: 0.334
BTN 'CO push' combos: 412, mean push: 0.154

Hand     |  Solver% |  Equity% |  EV(chips) | Corrected% | Change
------------------------------------------------------------------------
22       |     0.60 |    26.56 |      -0.99 |       0.00 | ok
33       |     0.86 |    27.79 |      -0.38 |       0.00 | ok
44       |    30.55 |    28.61 |      +0.02 |      53.99 | FIXED
55       |    99.21 |    30.76 |      +1.07 |     100.00 | ok
66       |   100.00 |    32.66 |      +2.00 |     100.00 | ok
77       |    99.81 |    34.57 |      +2.94 |     100.00 | ok
88       |   100.00 |    36.51 |      +3.89 |     100.00 | ok
99       |   100.00 |    39.31 |      +5.26 |     100.00 | ok
TT       |    99.98 |    43.80 |      +7.46 |     100.00 | ok
JJ       |   100.00 |    48.12 |      +9.58 |     100.00 | ok
QQ       |   100.00 |    53.79 |     +12.36 |     100.00 | ok
KK       |    99.99 |    60.80 |     +15.79 |     100.00 | ok
AA       |   100.00 |    72.66 |     +21.61 |     100.00 | ok
32s      |     0.09 |    22.10 |      -3.17 |       0.00 | ok
42s      |     0.13 |    23.02 |      -2.72 |       0.00 | ok
43s      |     0.11 |    24.40 |      -2.05 |       0.00 | ok
52s      |     0.35 |    23.49 |      -2.49 |       0.00 | ok
53s      |     0.10 |    25.13 |      -1.69 |       0.00 | ok
54s      |     0.15 |    26.57 |      -0.98 |       0.00 | ok
62s      |     0.00 |    22.79 |      -2.83 |       0.00 | ok
63s      |     0.02 |    24.05 |      -2.21 |       0.00 | ok
64s      |     0.33 |    25.72 |      -1.40 |       0.00 | ok
65s      |     1.23 |    27.60 |      -0.47 |       0.00 | FIXED
72s      |     0.08 |    21.89 |      -3.28 |       0.00 | ok
73s      |     0.17 |    23.11 |      -2.67 |       0.00 | ok
74s      |     1.16 |    24.29 |      -2.10 |       0.00 | FIXED
75s      |     0.53 |    26.51 |      -1.01 |       0.00 | ok
76s      |     0.28 |    27.53 |      -0.51 |       0.00 | ok
82s      |     0.06 |    22.91 |      -2.77 |       0.00 | ok
83s      |     0.09 |    21.88 |      -3.28 |       0.00 | ok
84s      |     0.00 |    23.86 |      -2.31 |       0.00 | ok
